Date,Giá VNIndex,Khối lượng,Change %,
9/20/2024,"1,272.04",898.26M,0.06%,
9/19/2024,"1,271.27",607.58M,0.50%,
9/18/2024,"1,264.90",799.78M,0.47%,
9/17/2024,"1,258.95",632.20M,1.59%,
9/16/2024,"1,239.26",608.01M,-0.99%,
9/13/2024,"1,251.71",482.06M,-0.37%,
9/12/2024,"1,256.35",433.68M,0.25%,
9/11/2024,"1,253.27",583.75M,-0.16%,
9/10/2024,"1,255.23",690.10M,-0.99%,
9/9/2024,"1,267.73",497.55M,-0.49%,
9/6/2024,"1,273.96",637.09M,0.45%,
9/5/2024,"1,268.21",665.63M,-0.59%,
9/4/2024,"1,275.80",648.41M,-0.63%,
8/30/2024,"1,283.87",571.60M,0.19%,
8/29/2024,"1,281.47",634.09M,0.00%,
8/28/2024,"1,281.44",717.62M,0.07%,
8/27/2024,"1,280.56",660.80M,0.04%,
8/26/2024,"1,280.02",775.47M,-0.41%,
8/23/2024,"1,285.32",724.87M,0.20%,
8/22/2024,"1,282.78",687.36M,-0.10%,
8/21/2024,"1,284.05",836.42M,0.90%,
8/20/2024,"1,272.55",810.16M,0.87%,
8/19/2024,"1,261.62",698.63M,0.75%,
8/16/2024,"1,252.23",965.06M,2.34%,
8/15/2024,"1,223.56",497.06M,-0.55%,
8/14/2024,"1,230.36",507.18M,0.00%,
8/13/2024,"1,230.42",539.12M,0.01%,
8/12/2024,"1,230.28",551.15M,0.54%,
8/9/2024,"1,223.64",586.76M,1.27%,
8/8/2024,"1,208.32",758.83M,-0.62%,
8/7/2024,"1,215.88",623.84M,0.46%,
8/6/2024,"1,210.28",688.84K,1.87%,
8/5/2024,"1,188.07",1.04M,-3.92%,
8/2/2024,"1,236.60",696.66K,0.79%,
8/1/2024,"1,226.96",897.26K,-1.96%,
7/31/2024,"1,251.51",748.85K,0.52%,
7/30/2024,"1,245.06",653.07K,-0.12%,
7/29/2024,"1,246.60",496.87K,0.36%,
7/26/2024,"1,242.11",458.79K,0.72%,
7/25/2024,"1,233.19",484.41K,-0.43%,
7/24/2024,"1,238.47",740.26K,0.54%,
7/23/2024,"1,231.81",728.38K,-1.82%,
7/22/2024,"1,254.64",923.63K,-0.80%,
7/19/2024,"1,264.78",791.80K,-0.76%,
7/18/2024,"1,274.44",739.04K,0.46%,
7/17/2024,"1,268.66",1.23M,-0.98%,
7/16/2024,"1,281.18",684.26K,0.11%,
7/15/2024,"1,279.82",573.51K,-0.07%,
7/12/2024,"1,280.75",606.31K,-0.24%,
7/11/2024,"1,283.80",697.23K,-0.17%,
7/10/2024,"1,285.94",751.00K,-0.60%,
7/9/2024,"1,293.71",821.81K,0.79%,
7/8/2024,"1,283.56",766.90K,0.04%,
7/5/2024,"1,283.04",616.50K,0.25%,
7/4/2024,"1,279.89",523.46K,0.24%,
7/3/2024,"1,276.85",589.51K,0.56%,
7/2/2024,"1,269.79",528.47K,1.21%,
7/1/2024,"1,254.56",487.19K,0.74%,
6/28/2024,"1,245.32",840.43K,-1.09%,
6/27/2024,"1,259.09",596.99K,-0.17%,
