Date,Giá,Khối lượng,Change %,
9/20/2024,"74,700",8.34M,0.40%,
9/19/2024,"74,400",2.69M,0.00%,
9/18/2024,"74,400",7.99M,-0.13%,
9/17/2024,"74,500",2.79M,2.19%,
9/16/2024,"72,900",5.09M,-1.75%,
9/13/2024,"74,200",3.12M,-1.20%,
9/12/2024,"75,100",1.66M,0.00%,
9/11/2024,"75,100",2.90M,-0.13%,
9/10/2024,"75,200",6.19M,-0.27%,
9/9/2024,"75,400",3.75M,-0.79%,
9/6/2024,"76,000",4.44M,2.56%,
9/5/2024,"74,100",5.02M,-1.59%,
9/4/2024,"75,300",4.91M,-2.46%,
8/30/2024,"77,200",3.21M,0.39%,
8/29/2024,"76,900",1.89M,-0.26%,
8/28/2024,"77,100",4.56M,0.39%,
8/27/2024,"76,800",5.25M,0.79%,
8/26/2024,"76,200",7.99M,-2.18%,
8/23/2024,"77,900",4.06M,-0.13%,
8/22/2024,"78,000",6.73M,0.65%,
8/21/2024,"77,500",4.52M,-0.13%,
8/20/2024,"77,600",5.75M,-0.51%,
8/19/2024,"78,000",5.23M,0.91%,
8/16/2024,"77,300",8.15M,3.07%,
8/15/2024,"75,000",3.32M,-1.96%,
8/14/2024,"76,500",10.25M,2.27%,
8/13/2024,"74,800",4.76M,-0.27%,
8/12/2024,"75,000",4.27M,-0.27%,
8/9/2024,"75,200",3.97M,0.94%,
8/8/2024,"74,500",9.53M,2.05%,
8/7/2024,"73,000",3.65M,-0.27%,
8/6/2024,"73,200",5.27M,3.83%,
8/5/2024,"70,500",6.26M,-2.35%,
8/2/2024,"72,200",5.31M,0.56%,
8/1/2024,"71,800",7.66M,-3.10%,
7/31/2024,"74,100",3.57M,-0.67%,
7/30/2024,"74,600",5.72M,0.81%,
7/29/2024,"74,000",3.72M,0.00%,
7/26/2024,"74,000",7.23M,4.23%,
7/25/2024,"71,000",1.65M,-0.70%,
7/24/2024,"71,500",3.44M,0.70%,
7/23/2024,"71,000",3.38M,-1.66%,
7/22/2024,"72,200",4.07M,1.69%,
7/19/2024,"71,000",4.79M,-0.28%,
7/18/2024,"71,200",7.52M,-0.84%,
7/17/2024,"71,800",5.88M,-2.97%,
7/16/2024,"74,000",4.29M,-0.67%,
7/15/2024,"74,500",2.89M,-0.40%,
7/12/2024,"74,800",4.44M,-1.32%,
7/11/2024,"75,800",3.83M,-1.30%,
7/10/2024,"76,800",5.38M,0.39%,
7/9/2024,"76,500",5.98M,0.39%,
7/8/2024,"76,200",5.96M,-0.65%,
7/5/2024,"76,700",2.54M,-0.13%,
7/4/2024,"76,800",6.27M,0.39%,
7/3/2024,"76,500",2.55M,0.26%,
7/2/2024,"76,300",2.70M,0.39%,
7/1/2024,"76,000",2.94M,1.74%,
6/28/2024,"74,700",6.41M,0.27%,
6/27/2024,"74,500",3.77M,0.68%,
6/26/2024,"74,000",3.53M,0.14%,
6/25/2024,"73,900",5.26M,0.27%,
6/24/2024,"73,700",8.31M,-3.28%,
6/21/2024,"76,200",3.97M,0.53%,
6/20/2024,"75,800",4.16M,0.26%,
6/19/2024,"75,600",6.66M,-0.79%,
6/18/2024,"76,200",4.13M,0.00%,
6/17/2024,"76,200",6.24M,-2.31%,
6/14/2024,"78,000",9.03M,-0.76%,
6/13/2024,"78,600",6.21M,1.03%,
6/12/2024,"77,800",5.84M,2.64%,
6/11/2024,"75,800",6.57M,-1.69%,
6/10/2024,"77,100",5.32M,-0.64%,
6/7/2024,"77,600",4.62M,-0.64%,
6/6/2024,"78,100",4.73M,0.00%,
6/5/2024,"78,100",7.55M,0.77%,
6/4/2024,"77,500",4.40M,-0.26%,
6/3/2024,"77,700",6.57M,1.44%,
5/31/2024,"76,600",5.59M,-0.78%,
5/30/2024,"77,200",11.16M,2.93%,
5/29/2024,"75,000",8.00M,-0.66%,
5/28/2024,"75,500",5.10M,2.72%,
5/27/2024,"73,500",3.88M,0.00%,
5/24/2024,"73,500",7.67M,-3.03%,
5/23/2024,"75,800",6.13M,2.57%,
5/22/2024,"73,900",8.35M,-2.51%,
5/21/2024,"75,800",5.88M,-0.79%,
5/20/2024,"76,400",7.87M,1.19%,
5/17/2024,"75,500",12.30M,4.28%,
5/16/2024,"72,400",4.05M,0.28%,
5/15/2024,"72,200",6.89M,2.27%,
5/14/2024,"70,600",3.69M,-0.28%,
5/13/2024,"70,800",2.57M,0.00%,
5/10/2024,"70,800",3.71M,-0.84%,
5/9/2024,"71,400",7.17M,-1.24%,
5/8/2024,"72,300",6.12M,1.54%,
5/7/2024,"71,200",3.24M,0.14%,
5/6/2024,"71,100",5.11M,1.86%,
5/3/2024,"69,800",7.05M,2.65%,
5/2/2024,"68,000",2.28M,1.19%,
4/26/2024,"67,200",3.59M,-1.32%,
4/25/2024,"68,100",6.07M,1.79%,
4/24/2024,"66,900",3.28M,3.40%,
4/23/2024,"64,700",5.05M,-3.29%,
4/22/2024,"66,900",2.93M,0.60%,
4/19/2024,"66,500",4.77M,-0.45%,
4/17/2024,"66,800",7.22M,1.06%,
4/16/2024,"66,100",8.05M,-1.20%,
4/15/2024,"66,900",10.95M,-6.95%,
4/12/2024,"71,900",3.57M,0.14%,
4/11/2024,"71,800",3.58M,-0.97%,
4/10/2024,"72,500",3.03M,-1.36%,
4/9/2024,"73,500",4.12M,2.23%,
4/8/2024,"71,900",2.80M,0.00%,
4/5/2024,"71,900",5.61M,-2.04%,
4/4/2024,"73,400",3.74M,0.00%,
4/3/2024,"73,400",4.99M,-1.48%,
4/2/2024,"74,500",3.74M,1.50%,
4/1/2024,"73,400",7.70M,-1.08%,
3/29/2024,"74,200",8.32M,-2.37%,
3/28/2024,"76,000",6.24M,0.80%,
3/27/2024,"75,400",6.07M,1.89%,
3/26/2024,"74,000",6.37M,-1.99%,
3/25/2024,"75,500",8.72M,-3.82%,
3/22/2024,"78,500",6.02M,0.64%,
3/21/2024,"78,000",4.98M,0.91%,
3/20/2024,"77,300",4.24M,-0.13%,
3/19/2024,"77,400",3.13M,-0.64%,
3/18/2024,"77,900",7.52M,-0.76%,
3/15/2024,"78,500",6.91M,-0.51%,
3/14/2024,"78,900",6.42M,-2.47%,
3/13/2024,"80,900",7.04M,2.80%,
3/12/2024,"78,700",5.98M,1.55%,
3/11/2024,"77,500",7.10M,-1.27%,
3/8/2024,"78,500",7.45M,-2.85%,
